pickup_node,dropoff_node,manhattan_distance,taxi_duration,bus_duration,buses,unique_buses,bus_ride_distance,walking_distance
42446971,42456555,2005,480,1321,0,0,0,1585
42429657,42436377,2180,540,1260,1,1,1221,925
4597668040,5481907299,2078,480,1372,1,1,767,1279
42430384,3564892565,4943,1456,2885,2,2,1946,2528
42446959,4268635503,1611,700,1501,1,1,1331,1162
42444412,4890633718,2225,540,1615,1,1,717,1593
5159433792,1692433940,1265,513,1084,0,0,0,1300
3564892565,3463815151,4096,604,2200,1,1,1957,1700
4597668032,42432834,3328,480,2126,0,0,0,2551
42445896,5235625492,1075,315,557,1,1,296,526
4298757024,4276517126,1352,360,1061,0,0,0,1273
5235625493,42435657,741,193,431,1,1,1079,0
4960503203,42422056,6296,825,3899,2,2,4064,2728
5148103569,593886214,2564,429,1616,1,1,583,1660
3463815151,4676469048,5955,1286,3328,2,2,4464,1851
561042198,42430271,2032,477,1590,0,0,0,1908
4799735127,5985110737,2113,911,1526,1,1,1266,1224
2840192825,5481859787,1706,242,1240,1,1,744,1131
42435596,3775435272,2417,455,2035,1,1,583,2162
42438889,5341393941,4752,610,3056,2,2,3102,2179
805764995,42431168,4992,886,2971,2,2,2918,2164
42427327,42449076,2191,600,1632,1,1,588,1676
4332760711,1692433932,2570,345,1506,1,1,1661,1010
5799765148,42430265,3473,857,2731,2,2,3314,1686
3955360020,42430589,2721,780,2207,2,2,2476,1460
5152337885,42445947,6762,1440,3851,3,2,4229,2591
5813259901,42436377,2503,360,1883,0,0,0,2259
5235625493,3955360013,1324,1770,1206,1,1,296,1305
5475605301,3842788781,993,180,977,1,1,607,881
4207937591,5481886054,1473,476,916,1,1,626,798
42431508,4443775465,2375,480,1338,1,1,1513,880
3875000768,42455357,1719,400,1340,1,1,2209,547
596775882,2034011056,9202,1380,5364,2,2,3664,4678
42435610,42434357,1910,480,1094,1,1,696,978
3875119999,5135853010,7185,1380,4052,3,3,4027,2929
4234425030,42434087,2043,300,1272,0,0,0,1527
42436404,5812723036,2410,458,1764,0,0,0,2117
42428476,5296792743,1407,286,1189,1,1,566,1155
5812723035,4443775464,4703,660,2707,1,1,1379,2587
2716012371,4796291645,1260,296,748,1,1,723,550
4597668044,42430292,872,510,512,0,0,0,615
1918039935,3859048179,2031,656,1602,1,1,2760,597
42436748,3974095842,2257,660,1570,1,1,1407,1208
4115878742,3942050704,1847,540,1541,1,1,558,1581
5148088859,42455026,1278,285,821,1,1,1661,188
4784141039,5235625496,2173,660,1323,0,0,0,1588
42456568,42430317,1103,600,876,1,1,558,783
42430271,5730369215,2006,342,939,1,1,1150,575
5107733973,4555581031,3678,660,2783,2,2,2171,2297
42458267,4501889866,1408,360,1007,0,0,0,1209
42442943,42431453,3253,796,1895,1,1,767,1906
42435624,4259278554,2046,535,1875,2,2,1403,1577
42434145,4145434705,5046,803,3292,2,2,2748,2631
4742692789,1772104737,1407,240,854,0,0,0,1025
2477560555,42430265,2093,476,900,1,1,1810,211
42444051,42436371,5558,1491,3137,2,2,3736,1971
42433577,42433574,374,319,239,0,0,0,287
42437644,42452598,3052,518,1874,1,1,857,1838
42435657,3977886869,1436,242,897,1,1,1302,452
5481887476,4207937589,1604,540,1107,1,1,849,921
42444827,42429377,2699,724,1660,1,1,532,1737
4376122119,420591231,1644,540,1282,1,1,468,1313
4597668030,561042200,1434,158,861,0,0,0,1034
4886228960,3942050706,1218,240,870,1,1,468,819
42436088,3236324376,2178,383,1305,1,1,1880,664
42430259,42436109,2270,445,1254,1,1,1221,918
42435642,805764998,2258,310,1641,1,1,1280,1355
42430288,561042194,1053,240,1039,0,0,0,1247
42439968,5235625475,740,120,460,0,0,0,553
42435671,4488597394,1260,540,918,1,1,1376,441
3833309813,42437371,1776,323,1153,1,1,1376,723
42434145,42430274,2426,684,1622,2,1,1718,1121
3997461346,5851792229,2432,300,1498,1,1,721,1452
