pickup_node,dropoff_node,manhattan_distance,taxi_duration
42446971,42456555,2005,480
42429657,42436377,2180,540
4597668040,5481907299,2078,480
42430384,3564892565,4943,1456
42446959,4268635503,1611,700
42444412,4890633718,2225,540
5159433792,1692433940,1265,513
3564892565,3463815151,4096,604
4597668032,42432834,3328,480
42445896,5235625492,1075,315
4298757024,4276517126,1352,360
5235625493,42435657,741,193
4960503203,42422056,6296,825
5148103569,593886214,2564,429
3463815151,4676469048,5955,1286
561042198,42430271,2032,477
4799735127,5985110737,2113,911
2840192825,5481859787,1706,242
42435596,3775435272,2417,455
42438889,5341393941,4752,610
805764995,42431168,4992,886
42427327,42449076,2191,600
4332760711,1692433932,2570,345
5799765148,42430265,3473,857
3955360020,42430589,2721,780
5152337885,42445947,6762,1440
5813259901,42436377,2503,360
5235625493,3955360013,1324,1770
5475605301,3842788781,993,180
4207937591,5481886054,1473,476
42431508,4443775465,2375,480
3875000768,42455357,1719,400
596775882,2034011056,9202,1380
42435610,42434357,1910,480
3875119999,5135853010,7185,1380
4234425030,42434087,2043,300
42436404,5812723036,2410,458
42428476,5296792743,1407,286
5812723035,4443775464,4703,660
2716012371,4796291645,1260,296
4597668044,42430292,872,510
1918039935,3859048179,2031,656
42436748,3974095842,2257,660
4115878742,3942050704,1847,540
5148088859,42455026,1278,285
4784141039,5235625496,2173,660
42456568,42430317,1103,600
42430271,5730369215,2006,342
5107733973,4555581031,3678,660
42458267,4501889866,1408,360
42442943,42431453,3253,796
42435624,4259278554,2046,535
42434145,4145434705,5046,803
4742692789,1772104737,1407,240
2477560555,42430265,2093,476
42444051,42436371,5558,1491
42433577,42433574,374,319
42437644,42452598,3052,518
42435657,3977886869,1436,242
5481887476,4207937589,1604,540
42444827,42429377,2699,724
4376122119,420591231,1644,540
4597668030,561042200,1434,158
4886228960,3942050706,1218,240
42436088,3236324376,2178,383
42430259,42436109,2270,445
42435642,805764998,2258,310
42430288,561042194,1053,240
42439968,5235625475,740,120
42435671,4488597394,1260,540
3833309813,42437371,1776,323
42434145,42430274,2426,684
3997461346,5851792229,2432,300
1514353072,593915303,1278,360
5481887475,3942050699,1399,540
4689113869,42456555,1990,240
3786901754,4621333640,3571,480
4597668033,42435422,1178,727
4968494266,3957124188,3107,297
42430249,1751570231,4116,317
42430263,2723627039,3744,600
42440710,4234425050,1438,1740
42444964,42440820,4458,533
5151970422,4375703335,225,78
5829907368,42430263,1968,420
42428464,42455200,1136,240
3584752524,42435910,2243,557
1251605761,588592974,4323,1295
4903169925,5244228887,2611,480
3997454659,5240042138,173,720
1760567015,42437654,2204,960
3974095832,4685465959,3552,480
3875091642,42431453,1590,300
3944708047,4770628023,1152,420
4443775465,3977886214,2821,960
5829880527,4234425053,3374,1210
593921872,3977886873,1429,300
3946500927,3833109158,402,300
4711654710,4205565517,2809,428
3314293721,4841945996,2518,603
4747401775,5525929393,4161,530
2435108436,42445661,2057,480
2034609412,4276517110,5176,1320
4625652075,4493840515,1498,409
42428491,4216045805,1422,240
5413254261,42430277,1270,249
42430257,42427423,840,60
42430317,3463815148,1609,240
42440527,4890614478,1355,266
42437363,42448338,1785,300
42443680,3847026393,527,420
42429373,42439583,2391,794
5244228884,42452001,1265,161
5538485407,42435663,1385,303
42430274,42442282,3107,361
42430680,246580076,2544,445
4578017557,2555136675,2160,660
4796291645,5103334973,5224,960
4741335326,100522734,7750,1426
42444916,42436578,1797,540
5481883674,2687645210,2537,1027
4443775465,4550600353,1679,328
4235733234,4132605229,1256,120
42430241,42436575,1648,156
42444414,3874653366,4547,660
4207912629,4320194274,4094,960
5730369217,4634276416,239,639
4234425033,42430292,1404,475
42436779,2034011063,3415,420
4235738201,2895163400,5060,741
42442895,42434418,6147,807
42457697,4298961520,2664,540
5416901181,5286255072,1500,240
4763900908,42429842,5470,900
3971302314,5151708184,6062,1527
4320028808,596775907,5553,1312
3573482144,42448811,1626,420
4631139783,4597668041,1529,276
42428476,5215013216,4317,697
42429664,1692433919,2907,720
4960503208,3977886870,1605,431
3977886242,42445411,2443,1007
4755831440,42457721,1578,300
4711654700,1633185362,1610,300
4216045836,42437082,1266,197
3875000770,42433620,2153,480
1805328855,5235625475,7194,600
3762705787,4741335333,1156,622
42442288,42440815,1527,285
3009534483,3955360021,1824,436
4132605272,4117109189,2073,420
1773069828,5362205528,2289,480
3420766637,42428379,4005,939
42453607,42443612,5322,840
4143835707,42435610,5027,613
42444051,42442898,1773,240
42430277,348152928,3636,293
1773121031,4216045830,775,317
5783020910,4298757077,1464,240
42437663,4841945994,2893,480
4115878742,4322008120,2430,528
42430274,2704112725,1775,840
2665380689,42439823,4437,300
42428433,3627218179,2490,565
42438674,42435642,737,240
2639531755,42454378,2641,840
3971302313,4276525587,3196,1232
3236082431,42437084,1939,360
42453777,4298781037,3400,953
42435420,5357086127,1879,420
42433611,3276524465,3198,755
5849918502,42443811,3262,686
42434855,4375703337,1659,240
42435660,1745991210,948,240
4205565508,5784502859,1378,308
3833309821,5007384481,1970,720
4207957613,4782442668,1134,352
3875091621,5829844677,1234,660
3463816118,42430589,3847,480
4960503202,42430344,1494,1128
3564892572,1993431127,2470,434
42434951,2671114110,2312,454
42436400,805764998,5172,600
42446528,4234425025,2116,402
3971302311,1760566994,2204,622
3627218178,42437096,1282,615
3955360017,42434800,1621,338
42446935,3977886246,2083,631
