pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2013-11-01 09:01:00,2013-11-01 09:09:00,-73.975464,40.752075,-73.98527,40.741463
2013-11-06 20:12:00,2013-11-06 20:21:00,-73.99156,40.738373,-74.00668,40.730217
2013-11-02 14:18:00,2013-11-02 14:26:00,-73.98691,40.739952,-73.97184,40.747227
2013-11-05 15:09:18,2013-11-05 15:33:34,-73.97692,40.76429,-74.00523,40.74128
2013-11-04 08:12:01,2013-11-04 08:23:41,-73.97635,40.75153,-73.975494,40.765373
2013-11-06 20:56:00,2013-11-06 21:05:00,-74.007835,40.705055,-74.004944,40.72288
2013-11-02 21:49:43,2013-11-02 21:58:16,-73.996414,40.721947,-74.000206,40.73045
2013-11-02 02:14:53,2013-11-02 02:24:57,-74.00518,40.741222,-73.98842,40.765366
2013-11-02 08:38:00,2013-11-02 08:46:00,-73.98504,40.7423,-73.970795,40.761436
2013-11-02 15:56:27,2013-11-02 16:01:42,-73.984375,40.74582,-73.991936,40.749763
2013-11-01 20:03:00,2013-11-01 20:09:00,-73.98062,40.73394,-73.987686,40.74075
2013-11-07 07:57:39,2013-11-07 08:00:52,-73.99152,40.750114,-73.99077,40.75621
2013-11-03 23:14:26,2013-11-03 23:28:11,-73.98472,40.746548,-74.00743,40.707127
2013-11-02 02:35:10,2013-11-02 02:42:19,-73.99175,40.73545,-73.97607,40.746628
2013-11-06 11:15:58,2013-11-06 11:37:24,-73.98818,40.764744,-74.003494,40.722782
2013-11-07 14:33:51,2013-11-07 14:41:48,-73.978676,40.750927,-73.99347,40.743855
2013-11-01 11:30:21,2013-11-01 11:45:32,-73.978226,40.75926,-73.99852,40.762897
2013-11-02 17:36:52,2013-11-02 17:40:54,-74.00689,40.743942,-73.99295,40.748726
2013-11-01 22:35:41,2013-11-01 22:43:16,-74.002426,40.739834,-73.98015,40.744698
2013-11-06 06:06:15,2013-11-06 06:16:25,-73.97288,40.75602,-73.987656,40.724476
2013-11-07 23:39:46,2013-11-07 23:54:32,-73.97757,40.760384,-73.99185,40.726307
2013-11-05 08:47:00,2013-11-05 08:57:00,-73.99789,40.72053,-74.00366,40.735867
2013-11-03 21:10:31,2013-11-03 21:16:16,-73.98838,40.74285,-73.99991,40.72847
2013-11-01 08:58:50,2013-11-01 09:13:07,-73.99213,40.71146,-73.99394,40.741318
2013-11-01 19:35:00,2013-11-01 19:48:00,-73.97925,40.752434,-74.00692,40.74892
2013-11-07 09:51:00,2013-11-07 10:15:00,-73.99733,40.721832,-73.972015,40.763466
2013-11-07 13:14:00,2013-11-07 13:20:00,-74.01475,40.713463,-74.00685,40.729996
2013-11-03 19:15:08,2013-11-03 19:44:38,-73.99157,40.750084,-73.97819,40.751854
2013-11-02 21:14:00,2013-11-02 21:17:00,-73.97966,40.760468,-73.977486,40.75318
2013-11-02 15:35:50,2013-11-02 15:43:46,-73.985565,40.750603,-73.98914,40.761147
2013-11-03 14:35:00,2013-11-03 14:43:00,-74.00821,40.738697,-73.99496,40.750015
2013-11-06 23:59:47,2013-11-07 00:06:27,-73.98961,40.737835,-74.00809,40.739296
2013-11-01 09:17:00,2013-11-01 09:40:00,-73.97519,40.756,-74.01425,40.70283
2013-11-05 20:51:00,2013-11-05 20:59:00,-74.00021,40.74285,-73.98622,40.73627
2013-11-02 12:08:00,2013-11-02 12:31:00,-73.99018,40.76198,-74.010086,40.712437
2013-11-01 09:35:00,2013-11-01 09:40:00,-73.98144,40.741245,-73.97277,40.75305
2013-11-06 20:57:08,2013-11-06 21:04:46,-74.00605,40.735054,-74.01068,40.71688
2013-11-03 23:21:16,2013-11-03 23:26:02,-73.99189,40.73127,-73.99027,40.71984
2013-11-01 21:53:00,2013-11-01 22:04:00,-74.0104,40.719048,-73.99514,40.749783
2013-11-04 08:19:45,2013-11-04 08:24:41,-73.97713,40.757217,-73.971756,40.764484
2013-11-05 11:37:30,2013-11-05 11:46:00,-73.98283,40.745422,-73.98941,40.748283
2013-11-05 20:16:34,2013-11-05 20:27:30,-73.99099,40.724087,-73.991196,40.742203
2013-11-05 19:39:00,2013-11-05 19:50:00,-73.98322,40.743828,-73.97933,40.76118
2013-11-04 08:02:00,2013-11-04 08:11:00,-73.98257,40.7396,-73.98102,40.755047
2013-11-05 10:46:27,2013-11-05 10:51:12,-73.989555,40.741768,-73.99358,40.733322
2013-11-07 12:15:00,2013-11-07 12:26:00,-73.981926,40.7625,-73.991356,40.750095
2013-11-05 17:02:00,2013-11-05 17:12:00,-73.98256,40.745472,-73.98602,40.752773
2013-11-04 09:52:38,2013-11-04 09:58:20,-73.992676,40.742756,-74.00567,40.750957
2013-11-02 02:33:00,2013-11-02 02:44:00,-73.97273,40.752056,-74.00417,40.74279
2013-11-02 20:58:00,2013-11-02 21:04:00,-73.99703,40.724022,-74.00491,40.717323
2013-11-07 21:02:14,2013-11-07 21:15:30,-73.97132,40.75119,-73.98806,40.73461
2013-11-02 01:53:53,2013-11-02 02:02:48,-73.99827,40.745277,-73.9752,40.746204
2013-11-02 19:46:52,2013-11-02 20:00:15,-73.98485,40.727364,-74.01618,40.705727
2013-11-03 13:34:00,2013-11-03 13:38:00,-74.007904,40.712227,-74.01407,40.70424
2013-11-07 10:20:31,2013-11-07 10:28:27,-74.0022,40.729443,-73.993774,40.74189
2013-11-07 12:12:19,2013-11-07 12:37:10,-73.97283,40.75292,-74.00677,40.728638
2013-11-06 14:01:05,2013-11-06 14:06:24,-74.00105,40.724197,-74.002716,40.72209
2013-11-05 19:42:00,2013-11-05 19:50:38,-73.98439,40.74831,-74.00302,40.734974
2013-11-04 06:52:08,2013-11-04 06:56:10,-73.990944,40.75588,-73.98265,40.762512
2013-11-05 21:42:00,2013-11-05 21:51:00,-73.98963,40.758453,-73.98396,40.748314
2013-11-06 09:20:54,2013-11-06 09:32:58,-73.98624,40.726326,-74.00189,40.738743
2013-11-07 07:57:00,2013-11-07 08:06:00,-73.98806,40.749428,-73.975395,40.75462
2013-11-02 22:53:46,2013-11-02 22:56:24,-73.98421,40.7432,-73.97814,40.751507
2013-11-05 21:00:00,2013-11-05 21:04:00,-73.98784,40.74943,-73.980125,40.754547
2013-11-05 19:27:54,2013-11-05 19:34:17,-74.00946,40.726,-74.00612,40.74306
2013-11-07 20:13:00,2013-11-07 20:20:25,-73.99565,40.73936,-74.00877,40.72888
2013-11-04 06:50:26,2013-11-04 06:55:36,-73.99397,40.75132,-73.97835,40.759792
2013-11-01 21:01:00,2013-11-01 21:05:00,-73.98959,40.74742,-73.97982,40.749493
2013-11-01 21:30:00,2013-11-01 21:32:00,-73.98788,40.754612,-73.99113,40.750416
